Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Accident Date,Time (24hr),1st Road Class & No,Road Surface,Lighting Conditions,Weather Conditions,Type of Vehicle,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty
4170465,419001,442121,2,1/7/2017,0956,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,48
4170476,418684,445539,2,1/7/2017,1004,A660,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,46
4170512,435907,425856,2,1/3/2017,1730,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car0,Driver or rider,Slight,Male,46
4170512,435907,425856,2,1/3/2017,1730,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car0,Vehicle or pillion passenger,Slight,Female,32
4170626,430604,434563,2,1/7/2017,1100,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,51
4171908,431003,434499,1,1/7/2017,2333,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,20
4190321,422393,442334,3,1/9/2017,0847,A658,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Driver or rider,Slight,Male,61
4190321,422393,442334,3,1/9/2017,0847,A658,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,29
4190351,429125,431824,2,1/9/2017,0912,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,31
4190923,422670,437868,2,1/9/2017,1510,A65,Wet/Damp,Daylight: Street lights present,Raining without high winds,Car,Vehicle or pillion passenger,Slight,Female,38
4191303,429284,433672,3,1/9/2017,1853,A58(M),Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,24
41A0725,430424,433960,1,1/10/2017,1400,U,Dry,Daylight: Street lights present,Other,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,52
41A0725,430424,433960,1,1/10/2017,1400,U,Dry,Daylight: Street lights present,Other,Pedal cyclePedal cycle,Vehicle or pillion passenger,Slight,Female,56
41A0837,429398,431344,2,1/10/2017,1520,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Female,63
41A1233,431946,435786,3,1/10/2017,1850,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,27
41A1358,431081,430345,3,1/10/2017,0954,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,24
41A1358,431081,430345,3,1/10/2017,0954,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,41
41A1358,431081,430345,3,1/10/2017,0954,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,21
41A1358,431081,430345,3,1/10/2017,0954,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,27
41B0375,427322,437205,2,1/11/2017,0745,A660,Wet/Damp,Daylight: Street lights present,Fine with high winds,Pedal cycle,Driver or rider,Serious,Female,34
41B0624,436201,436472,2,1/11/2017,1300,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,20
41B0624,436201,436472,2,1/11/2017,1300,U,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle 12Motorcycle over 500cccc to Motorcycle over 500cc00cc,Driver or rider,Serious,Male,59
41B0716,424929,427642,2,1/11/2017,1145,A650,Wet/Damp,Daylight: Street lights present,Fine with high winds,Car,Vehicle or pillion passenger,Slight,Female,18
41B0716,424929,427642,2,1/11/2017,1145,A650,Wet/Damp,Daylight: Street lights present,Fine with high winds,Car,Driver or rider,Slight,Female,82
41B1649,428570,433002,2,1/11/2017,2040,A647,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,52
41C0190,423052,439311,2,1/12/2017,0640,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Serious,Male,25
41C0190,423052,439311,2,1/12/2017,0640,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Male,39
41C0202,422686,437858,2,1/12/2017,0710,A65,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,49
41C0267,424944,434437,2,1/12/2017,0820,A657,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,50
41C0311,426197,435960,2,1/12/2017,0815,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,32
41C0498,429913,437438,2,1/12/2017,1125,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,80
41C0563,434855,428429,2,1/12/2017,1205,U,Wet/Damp,Daylight: Street lights present,Raining without high winds,Pedal cycle,Driver or rider,Slight,Male,10
41C0873,437291,435675,2,1/12/2017,1500,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,49
41C1238,431381,435358,1,1/12/2017,1845,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,30
41D0238,428080,433188,1,1/13/2017,0715,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Female,13
41D0323,430266,436769,2,1/13/2017,0854,U,Frost/Ice,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,1
41D0385,430815,434504,2,1/13/2017,0925,A61,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,47
41D1270,430708,439034,2,1/13/2017,1710,A61,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,46
41D1308,440332,434550,2,1/13/2017,1750,U,Wet/Damp,Darkness: No street lighting,Fine without high winds,Car,Driver or rider,Slight,Male,84
41D1308,440332,434550,2,1/13/2017,1750,U,Wet/Damp,Darkness: No street lighting,Fine without high winds,Pedal cycleCar,Driver or rider,Slight,Male,29
41D1678,428276,431564,2,1/13/2017,2115,M621,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,26
41D1678,428276,431564,2,1/13/2017,2115,M621,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,21
41E0023,437522,431960,1,1/14/2017,0010,U,Frost/Ice,Darkness: No street lighting,Fine without high winds,Car,Driver or rider,Slight,Male,21
41E0499,420203,445698,1,1/14/2017,1103,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,75
41E0929,428378,432525,2,1/14/2017,1515,A58,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,16
41E1254,430498,437103,2,1/14/2017,1817,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,18
41E1591,431863,435107,2,1/14/2017,2120,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,32
41E1591,431863,435107,2,1/14/2017,2120,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,27
41E1591,431863,435107,2,1/14/2017,2120,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,28
41F0014,432853,434337,2,1/15/2017,0009,B6159,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Male,36
41F0594,428837,440134,3,1/15/2017,1230,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,87
41F0594,428837,440134,3,1/15/2017,1230,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Female,86
41F0644,429987,438567,2,1/15/2017,1308,B6157,Wet/Damp,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,31
41F0731,428342,434078,5,1/16/2017,1400,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Serious,Male,62
41F0731,428342,434078,5,1/16/2017,1400,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,51
41F0731,428342,434078,5,1/16/2017,1400,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,49
41F0731,428342,434078,5,1/16/2017,1400,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,42
41F0731,428342,434078,5,1/16/2017,1400,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,63
41F0731,428342,434078,5,1/16/2017,1400,A65,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,26
41F1134,443545,438278,2,1/15/2017,1800,A1(M),Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,57
41F1134,443545,438278,2,1/15/2017,1800,A1(M),Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,30
41F1285,430511,434358,2,1/15/2017,1917,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,30
41F1420,425909,435509,2,1/15/2017,2100,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,35
41F1420,425909,435509,2,1/15/2017,2100,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,14
41G0068,432754,429756,1,1/16/2017,0140,A639,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,30
41G0151,424945,434437,2,1/16/2017,0627,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Pedal cycle,Driver or rider,Slight,Male,52
41G0256,421307,428923,2,1/16/2017,0905,A650,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,19
41G0491,432278,432587,2,1/16/2017,1120,A61,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and underPedal cycle,Vehicle or pillion passenger,Slight,Male,56
41G1022,431816,430458,1,1/16/2017,1605,M621,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Male,38
41G1249,443329,435492,2,1/16/2017,1755,B1271,Wet/Damp,Darkness: Street lights present and lit,Fog or mist (if hazard),Car,Driver or rider,Slight,Female,52
41G1279,430882,432024,2,1/16/2017,1815,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Driver or rider,Slight,Female,21
41H0941,430855,433361,3,1/17/2017,1430,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,52
41H0941,430855,433361,3,1/17/2017,1430,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,51
41H0941,430855,433361,3,1/17/2017,1430,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,23
41H0941,430855,433361,3,1/17/2017,1430,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,2
41H1209,427498,425512,2,1/17/2017,1730,A653,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Female,45
41H1209,427498,425512,2,1/17/2017,1730,A653,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,18
41H1209,427498,425512,2,1/17/2017,1730,A653,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Serious,Male,15
41H1209,427498,425512,2,1/17/2017,1730,A653,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,46
41H1534,428931,432429,2,1/17/2017,1715,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,23
41I0945,437637,433169,2,1/18/2017,1545,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,28
41I0945,437637,433169,2,1/18/2017,1545,A63,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,31
41I1210,432385,436372,1,1/18/2017,1758,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Male,29
41I1381,427999,436010,1,1/5/2017,1740,A660,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Pedestrian,Serious,Male,34
41J0305,431435,431610,2,1/19/2017,0835,A639,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Serious,Male,18
41J0331,431115,430363,3,1/19/2017,0901,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,33
41J0331,431115,430363,3,1/19/2017,0901,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,22
41J0590,432831,435186,1,1/18/2017,1700,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,14
41J0608,428377,435261,2,1/19/2017,1145,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,21
41J0890,430842,424389,2,1/19/2017,1920,A650,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,46
41K0261,433670,425849,2,1/20/2017,0745,M62,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,52
41K0529,423365,433599,1,1/20/2017,1100,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,60
41K1027,428137,426346,2,1/20/2017,1540,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,50
41K1027,428137,426346,2,1/20/2017,1540,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,51
41K1235,425131,433893,2,1/17/2017,1730,U,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,16
41K1530,429410,433938,2,1/20/2017,2007,A58(M),Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Driver or rider,Slight,Male,24
41K1530,429410,433938,2,1/20/2017,2007,A58(M),Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Female,18
41K1530,429410,433938,2,1/20/2017,2007,A58(M),Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Driver or rider,Slight,Female,29
41K1558,432042,434989,1,1/20/2017,2015,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,5
41K1558,432042,434989,1,1/20/2017,2015,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Pedestrian,Slight,Female,37
41K1642,429895,433410,2,1/20/2017,2020,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,26
41K1678,429034,431996,2,1/20/2017,2128,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,19
41L0610,422947,443102,2,1/21/2017,1100,A658,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,84
41L0610,422947,443102,2,1/21/2017,1100,A658,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,63
41L0610,422947,443102,2,1/21/2017,1100,A658,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,57
41L0722,431965,430309,2,1/21/2017,1224,A61,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Driver or rider,Slight,Male,37
41L0776,427976,435308,2,1/20/2017,1300,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,19
41L0823,424149,427904,2,1/21/2017,1329,M62,Dry,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,41
41L0862,432287,438836,3,1/21/2017,1350,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,18
41L0862,432287,438836,3,1/21/2017,1350,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,19
41L0862,432287,438836,3,1/21/2017,1350,U,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,22
41L1506,429169,431942,2,1/21/2017,1950,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,46
41L1628,430024,432605,2,1/21/2017,2118,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,19
41M0349,429293,433679,2,1/22/2017,0645,A58,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,33
41M0542,434937,428908,2,1/22/2017,1115,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,13
41M0938,434252,434278,2,1/22/2017,1530,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,30
41M1009,427483,434591,2,1/22/2017,1630,A65,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,23
41M1270,431966,435835,3,1/22/2017,1903,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,26
41M1270,431966,435835,3,1/22/2017,1903,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,24
41M1270,431966,435835,3,1/22/2017,1903,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Male,20
41M1419,433495,435155,2,1/22/2017,2030,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,34
41N0728,421032,445002,2,1/18/2017,1845,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,47
41N1111,428420,428758,2,1/23/2017,1700,U,Wet/Damp,Darkness: Street lighting unknown,Fine without high winds,Car,Vehicle or pillion passenger,Slight,Female,29
41O0306,430973,435826,1,1/24/2017,0901,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Female,40
41O0573,427312,434684,2,1/24/2017,1205,A65,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycle,Driver or rider,Slight,Female,42
41O0994,427529,430960,1,1/24/2017,1608,M621,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,26
41O1063,436558,436164,2,1/24/2017,1640,U,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,27
41P0047,425569,433062,2,1/25/2017,0128,U,Frost/Ice,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Serious,Male,17
41P0349,430355,433052,1,1/25/2017,0955,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,52
41P0498,430103,431583,2,1/25/2017,1125,A653,Wet/Damp,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Slight,Male,57
41P0554,430574,430623,2,1/25/2017,1147,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,77
41P0602,431949,432600,1,1/25/2017,1200,U,Dry,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Slight,Male,12
41P0877,434608,428101,1,1/25/2017,1500,A654,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Pedestrian,Serious,Male,78
41P1213,426190,442454,1,1/25/2017,1754,A660,Dry,Darkness: Street lighting unknown,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,43
41Q0386,431388,435014,1,1/26/2017,0953,U,Dry,Daylight: Street lights present,Fine without high winds,Pedal cycleCar,Pedestrian,Serious,Male,26
41Q0952,424179,428212,2,1/26/2017,1232,A650,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Male,45
41Q1278,429647,433796,2,1/26/2017,1716,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Pedal cycle,Driver or rider,Slight,Male,54
41Q1329,432908,435044,2,1/26/2017,1845,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,34
41R0226,430518,431577,2,1/27/2017,0735,M621,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,36
41R0226,430518,431577,2,1/27/2017,0735,M621,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Driver or rider,Slight,Male,34
41R0226,430518,431577,2,1/27/2017,0735,M621,Dry,Daylight: Street lights present,Fine without high winds,Motorcycle Motorcycle over 500cc0cc and under0,Vehicle or pillion passenger,Slight,Female,22
41R0385,440401,446862,2,1/27/2017,1010,A168,Wet/Damp,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Serious,Female,21
41R1275,438357,440696,2,1/27/2017,1855,U,Dry,Darkness: Street lights present and lit,Fine without high winds,Motorcycle Motorcycle over 500cc0cc to 12Motorcycle over 500cccc,Driver or rider,Serious,Male,20
41R1294,421957,428201,3,1/27/2017,1900,A650,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,27
41R1294,421957,428201,3,1/27/2017,1900,A650,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Female,17
41R1582,430316,431181,1,1/27/2017,2200,U,Wet/Damp,Darkness: Street lights present and lit,Raining without high winds,Car,Pedestrian,Slight,Female,19
41S0145,427201,434752,2,1/28/2017,0200,A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Car,Driver or rider,Slight,Male,67
41S0145,427201,434752,2,1/28/2017,0200,A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Male,18
41S0145,427201,434752,2,1/28/2017,0200,A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Male,25
41S0145,427201,434752,2,1/28/2017,0200,A65,Wet/Damp,Darkness: Street lights present and lit,Fine without high winds,Taxi/Private hire car,Vehicle or pillion passenger,Slight,Male,24
41S0531,433001,426259,1,1/10/2017,0725,B6135,Dry,Darkness: Street lighting unknown,Fine without high winds,Car,Pedestrian,Slight,Male,32
41S0890,428500,433200,2,1/28/2017,1510,A647,Dry,Daylight: Street lights present,Fine without high winds,Car,Driver or rider,Slight,Female,36
